epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
85,2838.95,0.82317,0.51637,0.00455,0.90753,0.81345,0.88076,0.61569,1.15513,0.5686,0.0099,0.000318158,0.000318158,0.000318158
86,2873.12,0.84022,0.52404,0.0046,0.91266,0.77823,0.86248,0.60215,1.18155,0.65331,0.01033,0.000313446,0.000313446,0.000313446
87,2905.16,0.82551,0.51149,0.00447,0.90483,0.77808,0.8674,0.60177,1.16814,0.63731,0.01028,0.000308734,0.000308734,0.000308734
88,2937.6,0.81607,0.50479,0.0046,0.9065,0.8018,0.87168,0.60553,1.15943,0.64689,0.01002,0.000304021,0.000304021,0.000304021
89,2969.46,0.8164,0.49883,0.00456,0.89609,0.82185,0.87478,0.61258,1.18085,0.60378,0.01018,0.000299309,0.000299309,0.000299309
90,3001.99,0.81455,0.48809,0.00438,0.91382,0.81318,0.88695,0.61961,1.16853,0.57737,0.01036,0.000294596,0.000294596,0.000294596
91,3035.83,0.82071,0.501,0.0045,0.88298,0.81727,0.87604,0.62093,1.15582,0.58059,0.00963,0.000289884,0.000289884,0.000289884
92,3070.37,0.80669,0.48972,0.00442,0.91429,0.82348,0.88052,0.61528,1.1518,0.5791,0.00973,0.000285172,0.000285172,0.000285172
93,3103.41,0.79809,0.48403,0.00436,0.91559,0.81347,0.8732,0.6084,1.18203,0.61949,0.01034,0.000280459,0.000280459,0.000280459
94,3136.03,0.79524,0.48699,0.00437,0.89233,0.81439,0.86997,0.61019,1.16181,0.62182,0.01004,0.000275747,0.000275747,0.000275747
95,3168.23,0.79689,0.47762,0.00422,0.91728,0.80241,0.86724,0.61668,1.17052,0.62804,0.01012,0.000271034,0.000271034,0.000271034
96,3200.77,0.79066,0.47165,0.00427,0.89744,0.83676,0.88863,0.62001,1.16795,0.59874,0.00995,0.000266322,0.000266322,0.000266322
97,3232.76,0.78317,0.46619,0.00419,0.92198,0.8334,0.89719,0.63861,1.13978,0.56721,0.00961,0.00026161,0.00026161,0.00026161
98,3267.1,0.78988,0.46974,0.00419,0.92878,0.81863,0.89075,0.62995,1.13623,0.5556,0.00944,0.000256897,0.000256897,0.000256897
99,3299,0.79636,0.47577,0.00419,0.90057,0.83048,0.88552,0.62736,1.12695,0.55637,0.00941,0.000252185,0.000252185,0.000252185
100,3331.79,0.79089,0.46631,0.00419,0.91592,0.82346,0.88149,0.61679,1.16852,0.56189,0.00991,0.000247472,0.000247472,0.000247472
101,3363.85,0.77508,0.46571,0.00408,0.89523,0.83348,0.88965,0.628,1.15943,0.5615,0.00986,0.00024276,0.00024276,0.00024276
102,3397.83,0.77593,0.46672,0.0042,0.93128,0.81737,0.88009,0.6287,1.13228,0.5897,0.00959,0.000238048,0.000238048,0.000238048
103,3429.83,0.77272,0.46135,0.00409,0.92771,0.82927,0.88904,0.63631,1.11793,0.56627,0.0094,0.000233335,0.000233335,0.000233335
104,3462.46,0.76066,0.45422,0.00393,0.9269,0.817,0.8878,0.63454,1.12252,0.57226,0.00931,0.000228623,0.000228623,0.000228623
105,3494.45,0.75953,0.45477,0.004,0.93327,0.83003,0.89435,0.64285,1.11334,0.55479,0.00938,0.00022391,0.00022391,0.00022391
106,3528.91,0.75209,0.44936,0.00395,0.93915,0.8202,0.88989,0.63687,1.1431,0.56032,0.00967,0.000219198,0.000219198,0.000219198
107,3561.04,0.76078,0.44361,0.00387,0.92241,0.84145,0.8962,0.63443,1.13835,0.5473,0.00962,0.000214486,0.000214486,0.000214486
108,3593.69,0.74962,0.44667,0.0039,0.9243,0.81655,0.8829,0.64325,1.09539,0.5639,0.00924,0.000209773,0.000209773,0.000209773
109,3627.64,0.76412,0.44364,0.00384,0.93051,0.83422,0.89437,0.64145,1.08918,0.55359,0.00907,0.000205061,0.000205061,0.000205061
110,3660.1,0.74184,0.44254,0.00392,0.93343,0.81649,0.88673,0.64163,1.07824,0.57311,0.00899,0.000200348,0.000200348,0.000200348
111,3693.53,0.75177,0.43757,0.00386,0.89303,0.83634,0.8814,0.64593,1.07172,0.5563,0.00874,0.000195636,0.000195636,0.000195636
112,3727.71,0.7604,0.44296,0.00386,0.90186,0.83501,0.88146,0.64016,1.07765,0.55295,0.00898,0.000190924,0.000190924,0.000190924
113,3759.71,0.73351,0.43106,0.00381,0.91839,0.82818,0.88299,0.63964,1.09855,0.57231,0.00922,0.000186211,0.000186211,0.000186211
114,3792.28,0.71903,0.4238,0.00377,0.92806,0.82349,0.88319,0.64111,1.1022,0.56983,0.0092,0.000181499,0.000181499,0.000181499
115,3824.22,0.73376,0.42631,0.00377,0.9307,0.82401,0.88908,0.64231,1.11163,0.53582,0.00936,0.000176786,0.000176786,0.000176786
116,3856.81,0.71068,0.41716,0.00376,0.93436,0.8178,0.88689,0.63239,1.12428,0.55605,0.00942,0.000172074,0.000172074,0.000172074
117,3888.75,0.72577,0.42642,0.00366,0.93401,0.83073,0.88963,0.63851,1.09631,0.57126,0.00894,0.000167362,0.000167362,0.000167362
118,3921.24,0.71803,0.42581,0.00373,0.93745,0.8225,0.88024,0.64177,1.08913,0.57003,0.00891,0.000162649,0.000162649,0.000162649
119,3953.29,0.72611,0.42345,0.0037,0.92934,0.82607,0.89065,0.63836,1.10441,0.55398,0.00906,0.000157937,0.000157937,0.000157937
120,3986.69,0.71412,0.41375,0.00363,0.91693,0.83224,0.88451,0.6286,1.12633,0.55746,0.00936,0.000153224,0.000153224,0.000153224
121,4019.04,0.7157,0.4225,0.00357,0.92217,0.84181,0.88717,0.63796,1.11387,0.55536,0.00926,0.000148512,0.000148512,0.000148512
122,4051.57,0.71181,0.41503,0.0036,0.92754,0.83542,0.8865,0.64355,1.07903,0.56049,0.00879,0.0001438,0.0001438,0.0001438
123,4083.78,0.71309,0.41793,0.00363,0.93028,0.83062,0.88948,0.64282,1.07778,0.5667,0.00889,0.000139087,0.000139087,0.000139087
124,4116.37,0.71417,0.40814,0.00356,0.93479,0.84154,0.89217,0.64363,1.07405,0.55676,0.00876,0.000134375,0.000134375,0.000134375
125,4148.44,0.70216,0.41253,0.0036,0.9354,0.84246,0.89565,0.64405,1.08696,0.54156,0.009,0.000129662,0.000129662,0.000129662
126,4181.08,0.70522,0.40781,0.00351,0.93019,0.83598,0.88915,0.64115,1.09135,0.55835,0.00902,0.00012495,0.00012495,0.00012495
127,4213.22,0.69456,0.40601,0.00352,0.94011,0.83756,0.89893,0.64431,1.08796,0.54011,0.00901,0.000120238,0.000120238,0.000120238
128,4245.88,0.69707,0.4053,0.00345,0.93688,0.83346,0.8938,0.64839,1.07489,0.53932,0.00899,0.000115525,0.000115525,0.000115525
129,4280.24,0.6906,0.40219,0.00349,0.93935,0.8374,0.89522,0.64527,1.09399,0.53786,0.00902,0.000110813,0.000110813,0.000110813
130,4313.28,0.6989,0.40186,0.00344,0.92562,0.83458,0.89103,0.64014,1.10228,0.55971,0.00925,0.0001061,0.0001061,0.0001061
131,4345.28,0.67929,0.3944,0.00341,0.9498,0.83101,0.89968,0.65106,1.07678,0.54365,0.00884,0.000101388,0.000101388,0.000101388
132,4379.59,0.68371,0.39848,0.0034,0.95178,0.82305,0.8936,0.64064,1.08221,0.5526,0.00898,9.66756e-05,9.66756e-05,9.66756e-05
133,4411.66,0.68898,0.39707,0.00336,0.94297,0.83504,0.8925,0.64855,1.07212,0.55766,0.00879,9.19632e-05,9.19632e-05,9.19632e-05
134,4444.19,0.67731,0.39421,0.00341,0.94638,0.82943,0.89293,0.64792,1.06293,0.54684,0.00875,8.72508e-05,8.72508e-05,8.72508e-05
135,4476.4,0.69025,0.39987,0.00337,0.92434,0.83526,0.89173,0.64816,1.05956,0.54246,0.0086,8.25384e-05,8.25384e-05,8.25384e-05
136,4508.88,0.68328,0.39609,0.00332,0.94186,0.83193,0.89549,0.64813,1.05791,0.54947,0.00863,7.7826e-05,7.7826e-05,7.7826e-05
137,4541.14,0.68471,0.40083,0.00337,0.94641,0.81629,0.89297,0.64882,1.06298,0.53838,0.00863,7.31136e-05,7.31136e-05,7.31136e-05
138,4573.99,0.67884,0.38938,0.00331,0.93786,0.83378,0.89406,0.64926,1.05888,0.53987,0.00874,6.84012e-05,6.84012e-05,6.84012e-05
139,4606.59,0.67177,0.38681,0.00331,0.94205,0.83417,0.89326,0.6452,1.06673,0.54426,0.00889,6.36888e-05,6.36888e-05,6.36888e-05
140,4639.08,0.65574,0.37718,0.00327,0.94125,0.84176,0.89606,0.64767,1.06781,0.53488,0.00888,5.89764e-05,5.89764e-05,5.89764e-05
141,4696.98,0.67207,0.31558,0.00348,0.95039,0.82314,0.88503,0.63764,1.10055,0.57477,0.00905,5.4264e-05,5.4264e-05,5.4264e-05
142,4729.28,0.64521,0.30332,0.00337,0.92888,0.82629,0.88331,0.64426,1.08428,0.57218,0.00892,4.95516e-05,4.95516e-05,4.95516e-05
143,4760.9,0.65354,0.3041,0.00329,0.9383,0.8286,0.88662,0.6431,1.09444,0.57019,0.00917,4.48392e-05,4.48392e-05,4.48392e-05
144,4793.22,0.64013,0.30086,0.00321,0.94745,0.81477,0.88484,0.64365,1.08184,0.5775,0.00886,4.01268e-05,4.01268e-05,4.01268e-05
145,4824.84,0.64624,0.3011,0.00324,0.94795,0.82596,0.88775,0.64336,1.07934,0.56831,0.0089,3.54144e-05,3.54144e-05,3.54144e-05
146,4857.02,0.64427,0.29822,0.00325,0.94449,0.82746,0.89015,0.64453,1.07683,0.56226,0.00883,3.0702e-05,3.0702e-05,3.0702e-05
147,4889.89,0.63621,0.29573,0.00316,0.95176,0.81837,0.88718,0.64718,1.0734,0.54858,0.0088,2.59896e-05,2.59896e-05,2.59896e-05
148,4922.32,0.63523,0.29471,0.00313,0.94419,0.82671,0.88696,0.64427,1.07199,0.55581,0.00884,2.12772e-05,2.12772e-05,2.12772e-05
149,4953.93,0.63335,0.29256,0.00314,0.94046,0.82765,0.88648,0.64485,1.06817,0.56064,0.00876,1.65648e-05,1.65648e-05,1.65648e-05
150,4986.09,0.62566,0.29012,0.00313,0.94081,0.82375,0.88461,0.64636,1.06364,0.5646,0.00874,1.18524e-05,1.18524e-05,1.18524e-05
